uid,canonical_name,variant
6456,Alberto Rodriguez Pinon,Alberto Pinon
6471,Alex De Felipe,Alex Felipe
6478,Alexander Von Hugo,Alexander Hugo
6485,Alfio Di Mauro,Alfio Mauro
6488,Alfonso Perez Penate,Alfonso Penate
6496,Aly El Dawoudi,Aly Dawoudi
6501,Amit Ben David,Amit David
6502,Amr El Sawaf,Amr Sawaf
6540,Angel Luis Lopez Guillen,Angel Guillen
6540,Angel Luis Lopez Guillen,Angel Lopez Guillen
6565,Arjan Van Der Zande,Arjan Zande
6624,Bob Weise W055,Bob W055
6674,Carlos Alcaraz Gonzalez,Carlos Gonzalez
6694,Catao De Souza,Catao Souza
6697,Cesar De Sa,Cesar Sa
6745,Christophe Van De Weghe,Christophe Weghe
6793,Daniel De Boer,Daniel Boer
6845,Dean Martin Jr,Dean Jr
6889,Driss Ben Omar,Driss Omar
6926,Enno Van Veggel,Enno Veggel
6934,Enrique Perez Cassarino,Enrique Cassarino
6946,Ernesto Munoz De Cote,Ernesto Cote
6946,Ernesto Munoz De Cote,Ernesto De Cote
6957,Ezio Di Matteo,Ezio Matteo
6964,Fabio Di Mauro,Fabio Mauro
6978,Federico Berro Garcia,Federico Garcia
6979,Federico Garcia Berro,Federico Berro
6986,Fernando Dalla Fontana,Fernando Fontana
7050,Gaston Garcia Alonso,Gaston Alonso
7056,Genaro De Leon,Genaro Leon
7088,Giovanni Lelli Mami,Giovanni Mami
7099,Gonzalo Lopez Fabero,Gonzalo Fabero
7110,Graham Epsley Jones,Graham Jones
7149,Halid El Sallawy,Halid Sallawy
7168,Hassan El Arousy,Hassan Arousy
7174,Henk De Bruyn,Henk Bruyn
7183,Hernan Colombo Russel,Hernan Russel
7235,J Francisco Naves,J Naves
7240,Jacco Van Duyn,Jacco Duyn
7258,Jamil Al Agba,Jamil Agba
7320,Jerry Van Linge,Jerry Linge
7338,Joaquin Lopez San Roman,Joaquin Roman
7338,Joaquin Lopez San Roman,Joaquin San Roman
7352,Johan De Preter,Johan Preter
7402,Jorge Martinez Alonso,Jorge Alonso
7417,Jose De Miguel,Jose Miguel
7419,Jose Di Camino,Jose Camino
7435,Juan Martin Bra,Juan Bra
7447,Juan Perez De Mezquia,Juan De Mezquia
7447,Juan Perez De Mezquia,Juan Mezquia
7522,Kwassie Van Der Merwe,Kwassie Merwe
7579,Luis Castro Malaga,Luis Malaga
7622,Marc Van Eekeren,Marc Eekeren
7625,Marcel Van Der Merwe,Marcel Merwe
7714,Massimo Di Domenico,Massimo Domenico
7802,Mike Van Den Berg,Mike Berg
7876,Olivier Niox Chateau,Olivier Chateau
7923,Paul Robinson R263,Paul R263
7940,Paul Van Min,Paul Min
7996,Pier Francesco Restelli,Pier Restelli
8001,Pierre De Chaud,Pierre Chaud
8111,Robert Wright W096,Robert W096
8120,Roberto Lopez Sanchez,Roberto Sanchez
8157,Romanus Chuks Nwazu,Romanus Nwazu
8163,Roselle Nilo Natividad,Roselle Natividad
8189,Samie De Necker,Samie Necker
8195,Sasa Mahr Batuz,Sasa Batuz
8198,Schalk Van Der Schyff,Schalk Schyff
8342,Tarek El Sakka,Tarek Sakka
8364,Thierry Van Den Daele,Thierry Daele
8493,Wege Van Niekerk,Wege Niekerk
8524,Xxxxxxx Khalfan K735,Xxxxxxx K735
8568,Luis Perez Chete,Luis Chete
8571,Americo Venero Montes,Americo Montes
8573,Kerlin Leon Zamora,Kerlin Zamora
8576,Mohammed Nazreen Fuzi Nasruddin,Mohammed Fuzi Nasruddin
8576,Mohammed Nazreen Fuzi Nasruddin,Mohammed Nasruddin
8603,Hussain Al Ashwak,Hussain Ashwak
8606,Adel Al Shatti,Adel Shatti
8607,Seyed Akbar Taheri Rahaghi,Seyed Rahaghi
8607,Seyed Akbar Taheri Rahaghi,Seyed Taheri Rahaghi
8611,Mohammed Rajan Sundera Karuppiah,Mohammed Karuppiah
8611,Mohammed Rajan Sundera Karuppiah,Mohammed Sundera Karuppiah
8612,Antonio Van Grichen,Antonio Grichen
8614,Jhonnatan Medina Alvarez,Jhonnatan Alvarez
8624,Yazan Al Kasim,Yazan Kasim
8631,Musaad Al Jazzaf,Musaad Jazzaf
8637,Sandor Martinez Breijo,Sandor Breijo
8644,Yanquiel Medina Sobrino,Yanquiel Sobrino
8657,Sofiane Rais Ali,Sofiane Ali
8669,Kenneth Tuilier Curco,Kenneth Curco
8671,Frederick Sletting Johnsen,Frederick Johnsen
8672,Alejandro Aramburu Acuna,Alejandro Acuna
8677,Khalid Al Nabhani,Khalid Nabhani
8678,Mohammed Al Nabhani,Mohammed Nabhani
8692,Sulaiman Al Rawahi,Sulaiman Rawahi
8693,Cesar Escobar Serrano,Cesar Serrano
8704,Vicente Elberto Anasta,Vicente Anasta
8711,Sid Ali Akkal,Sid Akkal
8715,Hassan Al Mousa,Hassan Mousa
8718,Carlos Martin Navarro Vergara,Carlos Navarro Vergara
8718,Carlos Martin Navarro Vergara,Carlos Vergara
8724,Claudio Dias Conduto,Claudio Conduto
8727,Mohd Assri Merzuki,Mohd Merzuki
8736,Adrian Forberg Skogeng,Adrian Skogeng
8739,Othman Al Anazi,Othman Anazi
8749,Alberto Emmanuel Alvarado Larin,Alberto Alvarado Larin
8749,Alberto Emmanuel Alvarado Larin,Alberto Larin
8754,Gabriel Flores Ruiz,Gabriel Ruiz
